"","treatment","memberID","villageID","insample"
"1","Incentive","1855188005103",1855188,1
"2","Incentive","9567584011503",9567584,1
"3","Incentive","0367130002903",367130,1
"4","Incentive","6935490013003",6935490,1
"5","Incentive","1814396020503",1814396,1
"6","Empowerment","3877030022004",3877030,1
"7","Empowerment","6923263037804",6923263,1
"8","Empowerment","1865375024605",1865375,1
"9","Empowerment","1814455024202",1814455,1
"10","Empowerment","6947354005704",6947354,1
"11","Incen*Empow","0367555015904",367555,1
"12","Incen*Empow","6947342001803",6947342,1
"13","Incen*Empow","9510365027804",9510365,1
"14","Incen*Empow","9520257003605",9520257,1
"15","Incen*Empow","1814023005305",1814023,1
"16","Control","3811491006004",3811491,1
"17","Control","0327160025106",327160,1
"18","Control","0381234026603",381234,1
"19","Control","0340532021403",340532,1
"20","Control","1814088001504",1814088,1
